"","Kingdom","Phylum","Class","Order","Family","Genus"
"ESV40","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV42","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae",NA
"ESV43","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"ESV44","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV45","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter"
"ESV46","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA
"ESV47","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV48","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ESV49","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV51","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV52","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV53","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Nitrobacter"
"ESV54","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV55","Bacteria","Proteobacteria","Betaproteobacteria","B1-7BS",NA,NA
"ESV56","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae",NA
"ESV57","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae",NA
"ESV58","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV59","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA
"ESV60","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter"
"ESV61","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ESV62","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV63","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ESV64","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae",NA
"ESV65","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadales_Incertae_Sedis","Steroidobacter"
"ESV66","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ESV67","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae",NA
"ESV68","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"ESV69","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Nitrobacter"
"ESV70","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae",NA
"ESV72","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV73","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA
"ESV74","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae",NA
"ESV75","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV76","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV78","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV79","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA
"ESV80","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA
"ESV81","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Variibacter"
"ESV82","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV85","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV87","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionIII","FamilyI","Microcoleus"
"ESV88","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV89","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys"
"ESV90","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"ESV91","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ESV92","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae",NA
"ESV93","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV94","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Nitrobacter"
"ESV95","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"ESV96","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Dactylosporangium"
"ESV97","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae",NA
"ESV100","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter"
"ESV101","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV102","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionIII","FamilyI",NA
"ESV104","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV105","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae",NA
"ESV106","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter"
"ESV108","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV109","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionIII","FamilyI",NA
"ESV110","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV111","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV112","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"ESV113","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter"
"ESV114","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae",NA
"ESV116","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA
"ESV117","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas"
"ESV118","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV119","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ESV120","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys"
"ESV121","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV122","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"ESV123","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV125","Bacteria","Chloroflexi","Thermomicrobia","JG30-KF-CM45",NA,NA
"ESV127","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ESV128","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ESV129","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV130","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"ESV131","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"ESV132","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA
"ESV134","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"ESV135","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ESV136","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"ESV137","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV138","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ESV139","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Nitrobacter"
"ESV140","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV141","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV142","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae",NA
"ESV143","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella"
"ESV144","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"ESV145","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV148","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV149","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae",NA
"ESV151","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV152","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"ESV153","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae",NA
"ESV154","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae",NA
"ESV156","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae",NA
"ESV157","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"ESV159","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"ESV160","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV161","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys"
"ESV163","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter"
"ESV164","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Piscinibacter"
"ESV166","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA
"ESV167","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys"
"ESV168","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae",NA
"ESV169","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ESV170","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"ESV171","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV173","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV174","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"ESV177","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV178","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Nitrobacter"
"ESV179","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter"
"ESV180","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV181","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV182","Bacteria","Proteobacteria","Betaproteobacteria","B1-7BS",NA,NA
"ESV183","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Variibacter"
"ESV184","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA
"ESV186","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA
"ESV187","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"ESV188","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae",NA
"ESV190","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV192","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys"
"ESV193","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae",NA
"ESV194","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"ESV195","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV196","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira"
"ESV197","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ESV199","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae",NA
"ESV200","Bacteria","Proteobacteria","Betaproteobacteria","B1-7BS",NA,NA
"ESV201","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV202","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Variibacter"
"ESV203","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV205","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV207","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA
"ESV208","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae",NA
"ESV209","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV210","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV211","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas"
"ESV212","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Chungangia"
"ESV213","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV214","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA
"ESV217","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ESV218","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV219","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV223","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA
"ESV225","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV226","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV227","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfurellales","Desulfurellaceae","H16"
"ESV228","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV229","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV230","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ESV231","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ESV232","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae",NA
"ESV233","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"ESV234","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae",NA
"ESV236","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Aetherobacter"
"ESV237","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV238","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ESV239","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ESV242","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV243","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ESV244","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ESV246","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae",NA
"ESV247","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Variibacter"
"ESV248","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV249","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae",NA
"ESV250","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"ESV251","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ESV252","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionIII","FamilyI",NA
"ESV253","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ESV254","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadales_Incertae_Sedis","Steroidobacter"
"ESV255","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae",NA
"ESV256","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter"
"ESV258","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV259","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV261","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Microvirga"
"ESV264","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"ESV265","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV266","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae","Archangium"
"ESV269","Bacteria","Chloroflexi","Thermomicrobia","JG30-KF-CM45",NA,NA
"ESV271","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV272","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV274","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"ESV275","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas"
"ESV276","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA
"ESV277","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys"
"ESV278","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV279","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae","Archangium"
"ESV281","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ESV282","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV285","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV286","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV288","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV289","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV290","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae",NA
"ESV292","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Kribbella"
"ESV293","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionIII","FamilyI",NA
"ESV294","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"ESV295","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae",NA
"ESV296","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV297","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Nitrobacter"
"ESV299","Bacteria","Acidobacteria","Subgroup_6",NA,NA,NA
"ESV301","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"ESV302","Bacteria","Chloroflexi","Thermomicrobia","JG30-KF-CM45",NA,NA
"ESV303","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodobiaceae",NA
"ESV304","Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","DA101_soil_group",NA
"ESV305","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae",NA
"ESV306","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"ESV307","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Chungangia"
"ESV309","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"ESV310","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Variibacter"
"ESV311","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA
"ESV312","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys"
"ESV313","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionIII","FamilyI",NA
"ESV314","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Viridibacillus"
"ESV315","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas"
"ESV317","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionIII","FamilyI",NA
"ESV318","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA
"ESV319","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"ESV321","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Piscinibacter"
"ESV323","Bacteria","Proteobacteria","Betaproteobacteria","B1-7BS",NA,NA
"ESV324","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","Bryobacter"
"ESV325","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae",NA
"ESV326","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionIII","FamilyI","Microcoleus"
"ESV327","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"ESV328","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae",NA
"ESV329","Bacteria","Acidobacteria","Solibacteres","Solibacterales","Solibacteraceae_(Subgroup_3)","Bryobacter"
"ESV330","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV331","Bacteria","Proteobacteria","Betaproteobacteria","B1-7BS",NA,NA
"ESV332","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
"ESV333","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"ESV334","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV335","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellaceae_(Subgroup_4)","RB41"
